Sequence,Level,Label,definition
559,3,"Earth sciences of Australasia, Pacific Ocean islands, Atlantic Ocean islands, Arctic islands, Antarctica, extraterrestrial worlds","The comprehensive application of Earth sciences to oceanic, polar, and planetary environments, encompassing the geological and climatic systems of Australia, New Zealand, and Pacific islands; the unique physical processes of Atlantic and Arctic islands; the glaciology and extreme climate of Antarctica; and comparative planetary geology examining Earth-like processes on other celestial bodies."
560,2,Fossils and prehistoric life,"The scientific investigation of ancient life forms preserved in geological contexts, examining fossilized remains and traces of organisms from past geological periods to reconstruct evolutionary history, biodiversity patterns, ecological relationships, and environmental conditions throughout Earth's history, encompassing specialized studies of fossil plants, invertebrates, and vertebrates."
560,3,Paleontology,"The scientific investigation of ancient life forms preserved in geological contexts, examining fossilized remains and traces of organisms from past geological periods to reconstruct evolutionary history, biodiversity patterns, ecological relationships, and environmental conditions throughout Earth's history, encompassing specialized studies of fossil plants, invertebrates, and vertebrates."
561,3,"Paleobotany, fossil microorganisms","The scientific study of fossil plants and microorganisms, focusing on the identification, classification, and analysis of ancient botanical remains and microbial fossils to understand plant evolution, paleoecology, and the role of microorganisms in Earth's geological and biological history."
562,3,Fossil invertebrates,"The scientific examination of fossilized remains of invertebrate animals, which lack backbones, including diverse groups such as arthropods, mollusks, and echinoderms, to study their morphology, evolutionary development, and ecological roles in ancient ecosystems."
563,3,Miscellaneous fossil marine and seashore invertebrates,"The specialized study of fossilized remains of various marine and coastal invertebrate organisms that do not fit into major taxonomic groups, focusing on their unique anatomical features, habitat adaptations, and contributions to paleoenvironmental reconstructions of ancient aquatic and shoreline settings."
564,3,Fossil Mollusca and Molluscoidea,"The scientific analysis of fossilized remains of mollusks (such as snails, clams, and cephalopods) and molluscoids (including brachiopods and bryozoans), investigating their shell structures, evolutionary lineages, and paleoecological significance in marine and freshwater environments throughout geological time."
565,3,Fossil Arthropoda,"The study of fossilized remains of arthropods, a diverse phylum including insects, crustaceans, arachnids, and trilobites, focusing on their exoskeletal preservation, morphological diversity, evolutionary adaptations, and ecological interactions in terrestrial and aquatic paleoenvironments."
566,3,Fossil Chordata,"The scientific investigation of fossilized remains of chordates, animals characterized by a notochord, dorsal nerve cord, and pharyngeal slits, encompassing the study of early chordate evolution, anatomical transitions, and the diversification of vertebrate and invertebrate chordate lineages in the fossil record."
567,3,Fossil cold-blooded vertebrates,"The examination of fossilized remains of ectothermic vertebrates, including fish, amphibians, and reptiles, focusing on their physiological adaptations, evolutionary history, and ecological roles in ancient ecosystems, with particular attention to temperature-dependent metabolic processes and environmental interactions."
568,3,Fossil Aves (birds),"The scientific study of fossilized remains of birds, investigating avian evolution from theropod dinosaurs, anatomical specializations for flight, diversification patterns, and ecological niches throughout geological history, including extinct species and transitional forms."
569,3,Fossil Mammalia,"The analysis of fossilized remains of mammals, focusing on their evolutionary origins from synapsid ancestors, morphological adaptations such as hair and mammary glands, diversification into various orders, and ecological interactions in terrestrial and aquatic environments across geological epochs."
570,2,Biology,"The scientific study of living organisms and life processes at multiple levels of organization, from molecular and cellular mechanisms to physiological systems, genetic inheritance, evolutionary relationships, and ecological interactions, employing experimental and observational methods to understand the structure, function, growth, origin, evolution, and distribution of living things."
570,3,Biology,"The scientific study of living organisms and life processes at multiple levels of organization, from molecular and cellular mechanisms to physiological systems, genetic inheritance, evolutionary relationships, and ecological interactions, employing experimental and observational methods to understand the structure, function, growth, origin, evolution, and distribution of living things."
571,3,Physiology and related subjects,"The scientific study of the functions and mechanisms of living systems, focusing on how organisms, organ systems, organs, cells, and biomolecules carry out the chemical and physical functions necessary for life, including processes such as metabolism, growth, reproduction, response to stimuli, and homeostasis."
572,3,Biochemistry,"The scientific study of the chemical processes and substances that occur within living organisms, focusing on the structure and function of cellular components such as proteins, carbohydrates, lipids, nucleic acids, and other biomolecules, and how these molecules interact in metabolic pathways and cellular processes."
573,3,"Specific physiological systems in animals, regional histology and physiology in animals","The detailed study of particular organ systems and their functions in animals, examining both the microscopic structure (histology) and physiological processes of specific anatomical regions or systems such as the nervous, circulatory, respiratory, digestive, or musculoskeletal systems."
575,3,Specific parts of and physiological systems in plants,"The scientific examination of particular anatomical structures and functional systems in plants, focusing on the physiology and specialized roles of components such as roots, stems, leaves, flowers, vascular tissues, and reproductive organs in plant growth, development, and adaptation."
576,3,Genetics and evolution,"The scientific study of heredity, genetic variation, and evolutionary processes, encompassing how traits are inherited through genes, how genetic information is expressed and regulated, and how populations change over time through mechanisms such as natural selection, genetic drift, mutation, and gene flow."
577,3,Ecology,"The scientific study of the interactions between organisms and their environment, examining relationships among living things and their physical surroundings at individual, population, community, ecosystem, and biosphere levels, including energy flow, nutrient cycling, and biodiversity patterns."
578,3,Natural history of organisms and related subjects,"The observational and descriptive study of organisms in their natural environments, focusing on life histories, behaviors, adaptations, distributions, and classifications of plants, animals, and other living things through field studies and systematic documentation."
579,3,"Natural history of microorganisms, fungi, algae","The descriptive and observational study of microscopic organisms and simple photosynthetic organisms in their natural contexts, focusing on the life cycles, ecological roles, morphological characteristics, and taxonomic relationships of bacteria, archaea, protists, fungi, and algae."
580,2,Plants,"The scientific study of plant life encompassing their classification, structure, physiology, reproduction, evolution, and ecological roles, investigating photosynthetic organisms from microscopic algae to complex flowering plants and trees through botanical disciplines including plant anatomy, physiology, taxonomy, and ecology, with particular attention to major plant groups such as angiosperms, gymnosperms, and cryptogams."
580,3,Plants,"The scientific study of plant life encompassing their classification, structure, physiology, reproduction, evolution, and ecological roles, investigating photosynthetic organisms from microscopic algae to complex flowering plants and trees through botanical disciplines including plant anatomy, physiology, taxonomy, and ecology, with particular attention to major plant groups such as angiosperms, gymnosperms, and cryptogams."
581,3,Specific topics in natural history of plants,"The detailed investigation of particular aspects of plant life history, development, and interactions with their environment, focusing on specialized subjects such as plant phenology, biogeography, adaptation mechanisms, life cycle patterns, and ecological relationships that characterize specific plant groups or individual species within their natural habitats."
582,3,Plants noted for specific vegetative characteristics and flowers,"The botanical examination of plant species distinguished by particular morphological features in their vegetative structures (such as leaf arrangements, stem modifications, or root systems) and reproductive organs (including flower morphology, inflorescence patterns, and pollination mechanisms), emphasizing how these distinctive traits relate to adaptation, classification, and ecological function."
583,3,Magnoliopsida (Dicotyledones),"The botanical classification encompassing flowering plants characterized by embryos with two cotyledons, vascular bundles arranged in a ring, net-veined leaves, and flower parts typically in multiples of four or five, representing one of the two major groups of angiosperms that includes many familiar plant families such as roses, legumes, and sunflowers."
584,3,Liliopsida (Monocotyledones),"The botanical classification comprising flowering plants distinguished by embryos with a single cotyledon, parallel-veined leaves, vascular bundles scattered throughout the stem, and flower parts usually in multiples of three, representing one of the two major groups of angiosperms that includes grasses, lilies, orchids, and palms."
585,3,Pinophyta (Gymnosperms),"The botanical study of seed-producing vascular plants that bear naked seeds not enclosed in an ovary, characterized by cone-bearing structures, needle-like or scale-like leaves, and wood with tracheids, including conifers, cycads, ginkgo, and gnetophytes, representing ancient plant lineages that predate the evolution of flowering plants."
586,3,Cryptogamia (seedless plants),"The botanical investigation of plants that reproduce via spores rather than seeds, encompassing non-flowering plant groups including ferns, mosses, liverworts, hornworts, and algae, characterized by alternation of generations and lacking true flowers, fruits, or seeds in their reproductive cycles."
587,3,Pteridophyta,"The botanical study of vascular plants that reproduce via spores and exhibit alternation of generations, characterized by true roots, stems, and leaves, including ferns, horsetails, and clubmosses, representing seedless plants with well-developed vascular systems that bridge the evolutionary gap between bryophytes and seed plants."
588,3,Bryophyta,"The botanical examination of non-vascular plants that lack true roots, stems, and leaves, absorbing water and nutrients directly through their surfaces, including mosses, liverworts, and hornworts, characterized by dominant gametophyte generation and reproduction via spores in simple structures, representing some of the earliest land plants."
590,2,Animals (Zoology),"The scientific study of animal life encompassing their classification, anatomy, physiology, behavior, evolution, and ecological relationships, investigating multicellular organisms from simple invertebrates to complex vertebrates through zoological disciplines that examine animal structure, function, development, distribution, and interactions within ecosystems, with specialized studies of major animal groups including arthropods, mollusks, and chordates."
590,3,Animals,"The scientific study of animal life encompassing their classification, anatomy, physiology, behavior, evolution, and ecological relationships, investigating multicellular organisms from simple invertebrates to complex vertebrates through zoological disciplines that examine animal structure, function, development, distribution, and interactions within ecosystems, with specialized studies of major animal groups including arthropods, mollusks, and chordates."
591,3,Specific topics in natural history of animals,"The detailed investigation of particular aspects of animal life including their life cycles, adaptations, habitats, behaviors, and ecological roles, focusing on observational and descriptive approaches to understand how animals live and interact with their environments in specific contexts."
592,3,Invertebrates,"The scientific study of animals lacking a vertebral column or backbone, comprising approximately 97% of all animal species, including diverse groups such as arthropods, mollusks, annelids, cnidarians, and echinoderms, characterized by varied body plans, reproductive strategies, and ecological adaptations across terrestrial, freshwater, and marine environments."
593,3,Miscellaneous marine and seashore invertebrates,"The investigation of diverse invertebrate animals inhabiting marine and coastal environments that do not fit neatly into major taxonomic groups, including various worms, sponges, jellyfish, sea anemones, and other lesser-known organisms that play crucial roles in marine ecosystems through filter feeding, nutrient cycling, and habitat formation."
594,3,Mollusca and Molluscoidea,"The study of soft-bodied animals typically protected by calcareous shells, including classes such as gastropods (snails and slugs), bivalves (clams and oysters), cephalopods (squid and octopuses), and related groups, characterized by a muscular foot, mantle, and radula, with diverse adaptations for locomotion, feeding, and defense in aquatic and terrestrial habitats."
595,3,Arthropoda,"The scientific examination of segmented animals with jointed appendages and exoskeletons, constituting the largest phylum in the animal kingdom, including insects, arachnids, crustaceans, and myriapods, characterized by their segmented bodies, bilateral symmetry, and molting processes, with immense diversity in form, function, and ecological roles across virtually all terrestrial and aquatic environments."
596,3,Chordata,"The investigation of animals possessing at some stage of development a notochord, dorsal hollow nerve cord, pharyngeal slits, and post-anal tail, encompassing vertebrates (fish, amphibians, reptiles, birds, mammals) and closely related invertebrate groups such as tunicates and lancelets, characterized by complex organ systems and advanced nervous system development."
597,3,Cold-blooded vertebrates,"The study of vertebrate animals whose body temperature varies with the external environment, including fish, amphibians, and reptiles, characterized by ectothermic metabolism, behavioral thermoregulation, and adaptations for energy conservation in variable thermal conditions, with diverse reproductive strategies ranging from external fertilization to complex parental care."
598,3,Aves (birds),"The scientific analysis of feathered, winged, bipedal, endothermic vertebrates characterized by toothless beaked jaws, the laying of hard-shelled eggs, high metabolic rates, four-chambered hearts, and lightweight but strong skeletons, with adaptations for flight including modified forelimbs as wings, specialized respiratory systems, and keen sensory perception for navigation and foraging."
599,3,Mammalia (mammals),"The examination of warm-blooded vertebrates characterized by mammary glands for feeding young, hair or fur, three middle ear bones, and a neocortex region of the brain, with diverse reproductive strategies including placental development, marsupial pouches, and egg-laying monotremes, exhibiting complex social behaviors, parental care, and adaptations for terrestrial, aquatic, and aerial lifestyles."
600,1,Technology,"General works on technology and applied sciences that treat the subject broadly without focusing on specific engineering disciplines (like Civil, Mechanical, or Electrical engineering) or specific chemical technologies. Use this tag for comprehensive technological histories, general industrial research, or applied sciences not covered by 610-690."
600,2,Technology (applied sciences),"General works on technology and applied sciences that treat the subject broadly without focusing on specific engineering disciplines (like Civil, Mechanical, or Electrical engineering) or specific chemical technologies. Use this tag for comprehensive technological histories, general industrial research, or applied sciences not covered by 610-690."
600,3,Technology (applied sciences),"General works on technology and applied sciences that treat the subject broadly without focusing on specific engineering disciplines (like Civil, Mechanical, or Electrical engineering) or specific chemical technologies. Use this tag for comprehensive technological histories, general industrial research, or applied sciences not covered by 610-690."
601,3,Philosophy and theory,"The branch of inquiry that examines the fundamental nature, principles, and conceptual foundations of technology, addressing questions about the relationship between technology and society, the ethics of technological development, the epistemology of technological knowledge, and the theoretical frameworks that guide technological innovation and application."
602,3,Miscellany,"A collection of diverse materials, writings, and resources related to technology that do not fit into more specific categories, including unusual applications, anecdotal accounts, cross-disciplinary connections, and various supplementary information that provides breadth and context to the study of applied sciences."
603,3,"Dictionaries, encyclopedias, concordances","Reference works that systematically organize and define technological terminology, concepts, and historical developments, providing authoritative explanations of technical terms, comprehensive overviews of technological fields, and tools for locating specific information within technological literature."
604,3,"Technical drawing, hazardous materials technology; groups of people","The specialized practices of creating precise visual representations of technical designs and systems, combined with the study of materials that pose risks to health, safety, or the environment, along with examination of how different social groups interact with, are affected by, or contribute to technological development and implementation."
605,3,Serial publications,"Periodically issued publications such as journals, magazines, newsletters, and annual reports that disseminate ongoing research findings, technological developments, industry news, and scholarly discourse in the field of applied sciences, providing current information and facilitating continuous knowledge exchange."
606,3,Organizations,"Formal entities including corporations, research institutions, professional associations, standards bodies, and governmental agencies that develop, regulate, promote, or implement technological innovations, establishing the institutional frameworks through which technological knowledge is created, shared, and applied in society."
607,3,"Education, research, related topics","The systematic processes of teaching and learning technological knowledge and skills, combined with the investigative activities that generate new technological understanding and innovations, encompassing academic programs, training methodologies, experimental approaches, and associated activities that develop human capacity and advance technological frontiers."
608,3,Patents,"Legal instruments that grant exclusive rights to inventors for their technological innovations, providing protection for novel and useful inventions while documenting technical specifications and establishing formal recognition of intellectual property in the realm of applied sciences."
609,3,"History, geographic treatment, biography","The chronological study of technological development and change over time, examination of how technology varies across different regions and cultures, and accounts of individuals whose contributions have significantly shaped technological progress, providing contextual understanding of how technology evolves within specific temporal, spatial, and personal frameworks."
610,2,Medicine and health,"The applied science and practice concerned with maintaining and restoring human health through the prevention, diagnosis, treatment, and management of disease and injury, encompassing the study of human anatomy and physiology, clinical procedures, pharmacology, surgical interventions, and specialized care across the human lifespan from pediatrics to geriatrics."
610,3,Medicine and health,"The applied science and practice concerned with maintaining and restoring human health through the prevention, diagnosis, treatment, and management of disease and injury, encompassing the study of human anatomy and physiology, clinical procedures, pharmacology, surgical interventions, and specialized care across the human lifespan from pediatrics to geriatrics."
611,3,"Human anatomy, cytology, histology","The scientific study of the structure of the human body at multiple levels of organization, encompassing gross anatomy (the study of organs and organ systems visible to the naked eye), histology (the microscopic study of tissues), and cytology (the microscopic study of individual cells, including their structure, function, and pathology)."
612,3,Human physiology,"The scientific study of the normal functions and mechanisms of the human body's systems, organs, cells, and biomolecules, focusing on how these components work together to maintain homeostasis, respond to stimuli, and support life processes such as metabolism, respiration, circulation, and neural signaling."
613,3,Personal health and safety,"The principles and practices individuals employ to maintain and improve their own physical and mental well-being, prevent illness and injury, and ensure a safe living environment, encompassing areas such as nutrition, exercise, hygiene, stress management, first aid, and accident prevention in daily activities."
614,3,"Forensic medicine; incidence of injuries, wounds, disease; public preventive medicine","The application of medical knowledge to legal matters, including the investigation of death, injury, and disease for judicial purposes, coupled with the epidemiological study of the occurrence and distribution of health events in populations, and the organized efforts of society to prevent disease, prolong life, and promote health through community-wide interventions."
615,3,Pharmacology and therapeutics,"The scientific study of drugs and their interactions with living systems, encompassing the sources, chemical properties, biological effects, and mechanisms of action of pharmaceutical substances, and the application of this knowledge to the treatment of disease through the selection, dosing, and monitoring of medications for individual patients."
616,3,Diseases,"The study of abnormal conditions that impair the normal functioning of the human body, including their causes (etiology), mechanisms of development (pathogenesis), structural changes (morphology), clinical manifestations, progression, and outcomes, covering infectious, genetic, metabolic, degenerative, and environmental disorders."
617,3,"Surgery, regional medicine, dentistry, ophthalmology, otology, audiology","The branch of medicine that employs operative manual and instrumental techniques to investigate or treat pathological conditions such as disease or injury, along with specialized fields focusing on specific anatomical regions or organ systems: surgery (operative treatment), regional medicine (conditions of specific body areas), dentistry (oral health), ophthalmology (eye diseases), otology (ear diseases), and audiology (hearing disorders)."
618,3,"Gynecology, obstetrics, pediatrics, geriatrics","Specialized medical fields focused on distinct stages and aspects of the human lifespan and reproductive health: gynecology (female reproductive system health), obstetrics (pregnancy, childbirth, and postpartum care), pediatrics (medical care of infants, children, and adolescents), and geriatrics (healthcare for elderly adults, emphasizing the management of chronic conditions and functional decline associated with aging)."
620,2,Engineering,"The branch of science and technology concerned with the design, building, and use of engines, machines, and structures. Restricted to specific engineering disciplines including Civil, Mechanical, Electrical, Mining, and Nautical engineering. Distinct from Chemical Engineering (660) and general Technology (600)."
620,3,Engineering and applied operations,"The branch of science and technology concerned with the design, building, and use of engines, machines, and structures. Restricted to specific engineering disciplines including Civil, Mechanical, Electrical, Mining, and Nautical engineering. Distinct from Chemical Engineering (660) and general Technology (600)."
621,3,Applied physics,"The branch of physics that focuses on developing practical applications and technologies based on physical principles, bridging fundamental scientific discoveries with engineering solutions in areas such as materials science, optics, electronics, and nanotechnology to solve real-world problems."
622,3,Mining and related operations,"The engineering field concerned with the extraction, processing, and management of mineral resources from the earth, involving geological assessment, mine design, excavation techniques, mineral processing, environmental management, and safety systems for economically viable resource recovery."
623,3,Military and nautical engineering,"The specialized engineering discipline focused on designing, developing, and maintaining military systems and naval vessels, encompassing weapons systems, defense structures, ship architecture, propulsion systems, and maritime technologies for national security and naval operations."
624,3,Civil engineering,"The engineering profession dedicated to designing, constructing, and maintaining the physical and naturally built environment, including public works such as roads, bridges, dams, buildings, water supply systems, and transportation networks that form society's foundational infrastructure."
625,3,"Engineering of railroads, roads","The specialized engineering domain focused on planning, designing, constructing, and maintaining transportation corridors, including railway systems, highways, and road networks, with emphasis on route selection, structural design, materials science, traffic flow optimization, and transportation safety."
627,3,Hydraulic engineering,"The engineering specialty concerned with the flow and conveyance of fluids, primarily water, through the design and construction of hydraulic structures such as dams, canals, pipelines, pumps, turbines, and flood control systems for water resource management and energy generation."
628,3,Sanitary engineering,"The engineering field focused on protecting public health through the design and implementation of systems for clean water supply, wastewater treatment, solid waste management, and pollution control, ensuring environmental sanitation and disease prevention in communities."
629,3,Other branches of engineering,"Engineering disciplines not specifically enumerated in this classification but falling within the broader scope of applied operations, including emerging fields, interdisciplinary specialties, and established branches such as mechanical, electrical, chemical, aerospace, biomedical, and environmental engineering that apply scientific principles to practical problem-solving."
630,2,Agriculture,"The integrated science, art, and practice of cultivating plants and rearing animals for food, fiber, medicinal products, and other materials essential to human sustenance and development, encompassing systematic approaches to crop production, livestock management, soil science, pest control, forestry, horticulture, and sustainable resource management to ensure food security, economic viability, and environmental stewardship."
630,3,Agriculture and related technologies,"The integrated science, art, and practice of cultivating plants and rearing animals for food, fiber, medicinal products, and other materials essential to human sustenance and development, encompassing systematic approaches to crop production, livestock management, soil science, pest control, forestry, horticulture, and sustainable resource management to ensure food security, economic viability, and environmental stewardship."
631,3,"Specific techniques; apparatus, equipment, materials","The specialized methods, tools, machinery, and substances employed in agricultural operations, including precision farming technologies, irrigation systems, harvesting equipment, soil amendments, fertilizers, pesticides, and innovative materials designed to enhance productivity, efficiency, and sustainability in plant cultivation and animal rearing."
632,3,"Plant injuries, diseases, pests","The study and management of biotic and abiotic factors that cause harm to cultivated plants, encompassing plant pathology (fungal, bacterial, and viral diseases), entomology (insect pests and beneficial insects), weed science, and physiological disorders caused by environmental stresses, with emphasis on diagnosis, prevention, and control strategies to protect crop health and yield."
633,3,Field and plantation crops,"The cultivation of staple food crops, industrial raw materials, and commercial commodities grown extensively in open fields or large-scale plantations, including cereals (wheat, rice, maize), legumes, oilseeds, fiber crops (cotton, jute), sugarcane, coffee, tea, rubber, and other cash crops managed through mechanized farming systems for bulk production."
634,3,"Orchards, fruits, forestry","The cultivation and management of perennial woody plants for fruit production in orchards (apples, citrus, stone fruits) and the science of forestry involving the sustainable cultivation, conservation, and utilization of forest trees for timber, pulp, ecosystem services, and non-timber forest products, integrating arboriculture, silviculture, and agroforestry practices."
635,3,Garden crops (horticulture),"The intensive cultivation of plants for aesthetic, nutritional, and recreational purposes, encompassing vegetable gardening, floriculture (ornamental flowers), landscape horticulture, nursery production of plants, and the science of growing fruits, vegetables, herbs, and ornamental plants in controlled or small-scale environments through specialized techniques like greenhouse management and hydroponics."
636,3,Animal husbandry,"The science and practice of breeding, raising, and managing domesticated animals for meat, milk, eggs, wool, leather, labor, and other products, including livestock nutrition, genetics, housing, health care, reproduction, and welfare standards for cattle, poultry, swine, sheep, goats, and other farm animals."
637,3,Processing dairy and related products,"The technological processes involved in converting raw milk from animals into consumable and preservable dairy products, including pasteurization, homogenization, fermentation, cheese-making, yogurt production, butter churning, ice cream manufacturing, and the development of value-added products while ensuring food safety, quality control, and nutritional preservation."
638,3,Insect culture,"The controlled rearing and utilization of insects for agricultural, industrial, and ecological purposes, including apiculture (beekeeping for honey and pollination), sericulture (silkworm cultivation for silk production), biocontrol agent propagation, edible insect farming, and research applications in genetics, behavior, and sustainable resource production."
639,3,"Hunting, fishing, conservation, related technologies","The practices and technologies associated with harvesting wild animal and aquatic resources through hunting and fishing, integrated with conservation biology, wildlife management, habitat preservation, sustainable harvesting techniques, aquaculture development, and the application of ecological principles to maintain biodiversity and ecosystem health while supporting human needs."
640,2,Home and family management,"The systematic application of organizational principles and domestic skills to coordinate household operations, encompassing food preparation, housing maintenance, interior design, clothing care, child rearing, and family care, with the objective of creating functional, safe, and nurturing living environments through efficient planning and resource allocation."
640,3,Home and family management,"The systematic application of organizational principles and domestic skills to coordinate household operations, encompassing food preparation, housing maintenance, interior design, clothing care, child rearing, and family care, with the objective of creating functional, safe, and nurturing living environments through efficient planning and resource allocation."
641,3,Food and drink,"The study and practice of selecting, preparing, preserving, and serving edible substances and beverages, focusing on nutritional value, safety, culinary techniques, and the scientific principles underlying food composition and transformation."
642,3,Meals and table service,"The art and methodology of planning, arranging, and presenting meals, including menu design, portioning, plating aesthetics, and the formal procedures for serving food and beverages at dining tables to enhance the dining experience."
643,3,Housing and household equipment,"The evaluation, selection, maintenance, and efficient use of residential structures and the mechanical or electronic devices within them, such as appliances and tools, to ensure safety, functionality, and sustainability in domestic settings."
644,3,Household utilities,"The management and optimization of essential services supplied to a home, including water, electricity, gas, heating, cooling, and sanitation systems, with emphasis on reliability, cost-effectiveness, and environmental impact."
645,3,Household furnishings,"The selection, arrangement, and care of movable objects used to make a home habitable and aesthetically pleasing, such as furniture, textiles, decorations, and lighting, balancing comfort, style, and practicality."
646,3,"Sewing, clothing, management of personal and family life","The skills and practices involved in creating, repairing, and maintaining garments through sewing techniques, along with the organization of wardrobe, personal grooming, and daily routines to support individual and family well-being."
647,3,Management of public households (institutional housekeeping),"The administration of domestic operations in non-residential settings like hotels, hospitals, or schools, focusing on large-scale cleaning, maintenance, supply logistics, and staff coordination to ensure hygienic and orderly environments."
648,3,Housekeeping,"The routine tasks and systematic processes for maintaining cleanliness, order, and upkeep within a home, including cleaning, laundry, inventory management, and minor repairs to preserve a sanitary and organized living space."
649,3,Child rearing; home care of people with disabilities and illnesses,"The practices and principles for nurturing and educating children within a family context, combined with the provision of compassionate, skilled care at home for individuals with disabilities or health conditions, emphasizing emotional support, safety, and developmental needs."
650,2,Management and public relations,"The systematic coordination of organizational resources, processes, and communication strategies to achieve business objectives, encompassing office administration, accounting practices, general management principles, and the strategic development of organizational image and stakeholder relationships through advertising and public relations initiatives."
650,3,Management and auxiliary services,"The systematic coordination of organizational resources, processes, and communication strategies to achieve business objectives, encompassing office administration, accounting practices, general management principles, and the strategic development of organizational image and stakeholder relationships through advertising and public relations initiatives."
651,3,Office services,"The administrative functions and support activities that facilitate the daily operations of an organization, including document management, correspondence handling, scheduling, record keeping, and the maintenance of office equipment and supplies to ensure efficient workflow and communication."
652,3,Processes of written communication,"The systematic methods and techniques employed in creating, formatting, editing, and distributing written documents within organizational contexts, encompassing business correspondence, report preparation, documentation standards, and the application of professional writing principles to convey information clearly and effectively."
653,3,Shorthand,"A rapid writing system using abbreviated symbols or characters to represent words, phrases, or sounds, enabling efficient transcription of spoken language in business meetings, dictation, and other professional settings where speed and accuracy in recording information are essential."
657,3,Accounting,"The systematic recording, analysis, and reporting of financial transactions and information about an economic entity, involving the measurement, processing, and communication of financial data to support decision-making, ensure regulatory compliance, and provide transparency regarding an organization's economic activities and performance."
658,3,General management,"The comprehensive practice of planning, organizing, directing, and controlling an organization's resources and operations to achieve its objectives, encompassing strategic decision-making, leadership, resource allocation, performance monitoring, and the coordination of various functional areas to ensure organizational effectiveness and efficiency."
659,3,Advertising and public relations,"The strategic communication disciplines focused on building and maintaining positive relationships between organizations and their stakeholders, involving the creation and dissemination of persuasive messages through paid media channels (advertising) and the management of information flow, reputation, and public perception through earned media and direct engagement (public relations)."
660,2,Chemical engineering,"The branch of engineering that applies physical sciences, chemistry, and life sciences with mathematics and economics to processes that convert raw materials or chemicals into more useful or valuable forms, specializing in the design, operation, and optimization of chemical plants. Distinct from theoretical Chemistry (540)."
660,3,Chemical engineering and related technologies,"The branch of engineering that applies physical sciences, chemistry, and life sciences with mathematics and economics to processes that convert raw materials or chemicals into more useful or valuable forms, specializing in the design, operation, and optimization of chemical plants. Distinct from theoretical Chemistry (540)."
661,3,Technology of industrial chemicals,"The applied science and engineering discipline focused on the large-scale production, processing, and application of chemicals used in manufacturing and industrial processes, including petrochemicals, polymers, fertilizers, acids, alkalis, and specialty chemicals essential for various industries."
662,3,"Technology of explosives, fuels, related products","The engineering field concerned with the development, production, and application of energetic materials including explosives for mining, construction, and military purposes, as well as various fuels such as gasoline, diesel, jet fuel, and alternative energy sources through refining, synthesis, and combustion optimization processes."
663,3,Beverage technology,"The specialized application of chemical engineering principles to the production, processing, preservation, and packaging of liquid consumables including alcoholic beverages (beer, wine, spirits), non-alcoholic drinks (soft drinks, juices), and other prepared beverages, focusing on fermentation, carbonation, pasteurization, and quality control."
664,3,Food technology,"The scientific discipline that applies engineering, chemistry, and microbiology to the processing, preservation, packaging, storage, and distribution of food products, ensuring safety, nutritional value, shelf life, and sensory qualities through techniques such as thermal processing, freezing, drying, and packaging innovations."
665,3,"Technology of industrial oils, fats, waxes, gases","The engineering specialization dealing with the extraction, refining, modification, and application of lipid-based materials and industrial gases, including vegetable oils, animal fats, petroleum-based lubricants, natural and synthetic waxes, and various industrial gases used in manufacturing, energy, and chemical processes."
666,3,Ceramic and allied technologies,"The materials engineering field focused on the production, processing, and application of inorganic, non-metallic materials through high-temperature processing, including traditional ceramics (pottery, bricks), advanced ceramics (electronic, biomedical), glass, cement, and refractory materials with specific thermal, electrical, and mechanical properties."
667,3,"Cleaning, color, coating, related technologies","The applied chemical engineering discipline concerned with surface treatments and modifications, including cleaning agents and processes, dye and pigment production and application, paints, varnishes, protective coatings, adhesives, and surface finishing techniques for industrial and consumer products."
668,3,Technology of other organic products,"The engineering specialization focused on the production and processing of organic compounds not covered by other specific categories, including pharmaceuticals, agrochemicals, cosmetics, fragrances, dyes, plastics, rubber, and other synthetic or naturally derived organic materials through chemical synthesis, extraction, and purification processes."
669,3,Metallurgy,"The science and technology of metals, encompassing the extraction of metals from their ores, purification, alloying, and processing into useful forms through techniques such as smelting, refining, casting, forging, and heat treatment, with applications in structural materials, electronics, and advanced manufacturing."
670,2,Manufacturing,"The industrial process of transforming raw materials into finished goods through various mechanical, physical, or chemical operations, encompassing metalworking, wood processing, textile production, paper manufacturing, and the fabrication of products from specific materials using systematic production methods and quality control measures."
670,3,Manufacturing,"The industrial process of transforming raw materials into finished goods through various mechanical, physical, or chemical operations, encompassing metalworking, wood processing, textile production, paper manufacturing, and the fabrication of products from specific materials using systematic production methods and quality control measures."
671,3,Metalworking processes and primary metal products,"The industrial techniques and operations involved in shaping, forming, joining, and finishing metals to create primary metal products, including casting, forging, machining, welding, and metal fabrication methods that transform raw metallic materials into semi-finished or finished components."
672,3,"Iron, steel, other iron alloys","The manufacturing processes and products specifically involving ferrous metals, including the production of iron through smelting, the creation of steel through alloying and heat treatment, and the fabrication of various iron-based alloys with controlled carbon content and other alloying elements for structural, mechanical, and industrial applications."
673,3,Nonferrous metals,"The industrial processing and product manufacturing involving metals that contain little to no iron, including aluminum, copper, zinc, lead, tin, nickel, and precious metals like gold and silver, with manufacturing methods tailored to their specific physical and chemical properties for applications ranging from electrical components to corrosion-resistant structures."
