Sentence,Original_Entity,Predicted_Entity
' '' ''The Answer is Never '' ' '' is the second full-length album recorded by the band Howards Alias .,"['Howards Alias', (40219, 40220), 'ORG']","['Howards Alias', 88, 'PERSON']"
"His main influences included his friend Brahms as well as Bach , Palestrina , Lassus , and Heinrich SchÃÂ¼tz .","['Brahms', (40235, 40235), 'ORG']","['Brahms', 40, 'LOC']"
"His main influences included his friend Brahms as well as Bach , Palestrina , Lassus , and Heinrich SchÃÂ¼tz .","['Bach', (40239, 40239), 'ORG']","['Bach', 58, 'LOC']"
"His main influences included his friend Brahms as well as Bach , Palestrina , Lassus , and Heinrich SchÃÂ¼tz .","['Palestrina', (40241, 40241), 'PERSON']","['Palestrina', 65, 'LOC']"
"His main influences included his friend Brahms as well as Bach , Palestrina , Lassus , and Heinrich SchÃÂ¼tz .","['Lassus', (40243, 40243), 'ORG']","['Lassus', 78, 'LOC']"
' '' Brown Album '' ' '',"['Brown Album', (40257, 40258), 'ORG']","['Brown Album', 5, 'PERSON']"
*Fewest Wins Ã¢ÂÂ ÃÂrebro SK and IF Brommapojkarna ( 1 ),"['IF Brommapojkarna', (40322, 40323), 'ORG']","['IF Brommapojkarna', 37, 'PERSON']"
"On 18 November 1991 , he was appointed Aide-de-Camp to The Queen a role he fulfilled until 10 December 1993 .","['Aide-de-Camp', (40352, 40352), 'ORG']","['Aide-de-Camp', 39, 'LOC']"
' '' Daagh '' ' '',"['Daagh', (40609, 40609), 'ORG']","['Daagh', 5, 'LOC']"
"Wilhelm Karl Joseph Killing ( 1847Ã¢ÂÂ1923 ) , mathematic teacher","['Wilhelm Karl Joseph Killing', (40618, 40621), 'ORG']","['Wilhelm Karl Joseph Killing', 0, 'PERSON']"
Normans Kill ( Ta-wa-sen-tha ),"['Normans Kill', (40685, 40686), 'LOC']","['Normans Kill', 0, 'PERSON']"
' '' Sepultura '' ',"['Sepultura', (40713, 40713), 'ORG']","['Sepultura', 5, 'LOC']"
He was the youngest of the Eight Eccentrics of Yangzhou .,"['Eight Eccentrics of Yangzhou', (40737, 40740), 'PERSON']","['Eight Eccentrics of Yangzhou', 27, 'ORG']"
"He also won in the cities of Ashtarak , Ijevan , Armavir , Ejmiatsin , Nor Hachn , Abovyan , Spitak , Akhuryan , Artik , Kapan , Yeghegnadzor , Noyemberyan .","['Nor Hachn', (40946, 40947), 'LOC']","['Nor Hachn', 71, 'PERSON']"
"They had one daughter , Joan ( born 1312 , died 1349 ) .","['Joan', (40979, 40979), 'PERSON']","['Joan', 24, 'LOC']"
** '' JosÃÂ© Oliveira de Souza for ÃÂguila against Independiente ( 23 August 2008 ),"['Independiente', (41081, 41081), 'ORG']","['Independiente', 54, 'LOC']"
' '' Phish '' ',"['Phish', (41152, 41152), 'ORG']","['Phish', 5, 'LOC']"
"It is situated in the La Paz Department , JosÃÂ© Manuel Pando Province , at the border of the Catacora Municipality and the Santiago de Machaca Municipality .","['La Paz Department', (41259, 41261), 'LOC']","['La Paz Department', 22, 'ORG']"
"It is situated in the La Paz Department , JosÃÂ© Manuel Pando Province , at the border of the Catacora Municipality and the Santiago de Machaca Municipality .","['Santiago de Machaca Municipality', (41277, 41280), 'LOC']","['Santiago de Machaca Municipality', 125, 'ORG']"
"*** Falls Church , Virginia ''","['Falls Church , Virginia', (41302, 41305), 'LOC']","['Falls Church , Virginia', 4, 'ORG']"
"Departure points were Batavia , Semarang and Tandjong Priok .","['Batavia', (41316, 41316), 'ORG']","['Batavia', 22, 'LOC']"
"Departure points were Batavia , Semarang and Tandjong Priok .","['Tandjong Priok', (41320, 41321), 'LOC']","['Tandjong Priok', 45, 'PERSON']"
Most of the other technicians were also taken from Tollywood .,"['Tollywood', (41395, 41395), 'ORG']","['Tollywood', 51, 'LOC']"
"*18 January 2007 - Adam Hammill from Liverpool to Dunfermline Athletic , Loan","['Liverpool', (41507, 41507), 'ORG']","['Liverpool', 37, 'LOC']"
"*18 January 2007 - Adam Hammill from Liverpool to Dunfermline Athletic , Loan","['Dunfermline Athletic', (41509, 41510), 'ORG']","['Dunfermline Athletic', 50, 'LOC']"
"MV Sinbad , ship","['MV Sinbad', (41517, 41518), 'ORG']","['MV Sinbad', 0, 'PERSON']"
"He was a son of Sulayman Pasha the Great , and was succeeded by Dawud Pasha .","['Sulayman Pasha the Great', (41630, 41633), 'ORG']","['Sulayman Pasha the Great', 16, 'PERSON']"
"He was a son of Sulayman Pasha the Great , and was succeeded by Dawud Pasha .","['Dawud Pasha', (41639, 41640), 'ORG']","['Dawud Pasha', 64, 'PERSON']"
"' '' Auschwitz , Poland '' ' - Samples collected by Professor Ivo and Red Volcano .","['Auschwitz , Poland', (41657, 41659), 'ORG']","['Auschwitz , Poland', 5, 'LOC']"
"Born in 1967 in Goudriaan , he lives and works in The Hague .","['The Hague', (41711, 41712), 'LOC']","['The Hague', 50, 'ORG']"
Rookies '' ( 1927 ),"['Rookies', (41739, 41739), 'ORG']","['Rookies', 0, 'LOC']"
"Lindsey Wilson ( Columbia , Kentucky )","['Lindsey Wilson', (41744, 41745), 'ORG']","['Lindsey Wilson', 0, 'PERSON']"
"Kuala Lumpur , ' '' Malaysia '' ' .","['Kuala Lumpur', (41782, 41783), 'ORG']","['Kuala Lumpur', 0, 'LOC']"
Eugene Black ( D ),"['Eugene Black', (41813, 41814), 'ORG']","['Eugene Black', 0, 'PERSON']"
"'' ' '' ( 2 ) Georgia Tech 45 , ( 19 ) Nebraska 21 '' ' ''","['Georgia Tech', (41824, 41825), 'LOC']","['Georgia Tech', 14, 'ORG']"
Dancing in the Moonlight Ã¢ÂÂ King Harvest Ã¢ÂÂ 2:52,"['King Harvest', (41881, 41882), 'ORG']","['King Harvest', 32, 'PERSON']"
Silver Street '' ( 2004Ã¢ÂÂ2010 ),"['Silver Street', (41908, 41909), 'PERSON']","['Silver Street', 0, 'ORG']"
"TamÃÂ¡s Hajnal ''from Borussia Dortmund , previously on loan ''","['TamÃ\x83Â¡s Hajnal', (41931, 41932), 'PERSON']","['TamÃ\x83Â¡s Hajnal', 0, 'ORG']"
'' Everybody 's Talking '',"[""Everybody 's Talking"", (41942, 41944), 'PERSON']","[""Everybody 's Talking"", 3, 'ORG']"
"He was the brother of William Fiddian Moulton , John Fletcher Moulton , and James Egan Moulton .","['John Fletcher Moulton', (42022, 42024), 'ORG']","['John Fletcher Moulton', 48, 'PERSON']"
' '' Smuggler '' ' - First appeared in Avengers '' 21 ( Oct 1965 ),"['Avengers', (42040, 42040), 'PERSON']","['Avengers', 39, 'LOC']"
"Two more unnamed ships , Numbers 11 and 12 , were assigned to Kawasaki in Kobe and Mitsubishi in Nagasaki , respectively .","['Kawasaki', (42338, 42338), 'ORG']","['Kawasaki', 62, 'LOC']"
"Two more unnamed ships , Numbers 11 and 12 , were assigned to Kawasaki in Kobe and Mitsubishi in Nagasaki , respectively .","['Mitsubishi', (42342, 42342), 'ORG']","['Mitsubishi', 83, 'LOC']"
"In addition , the Boston Red Sox sent Nomar Garciaparra and Matt Murton to the Chicago Cubs ; the Montreal Expos sent Orlando Cabrera to the Boston Red Sox ; and the Chicago Cubs sent Brendan Harris , Alex Gonzalez , and Francis BeltrÃÂ¡n to the Montreal Expos .","['Alex Gonzalez', (42403, 42404), 'ORG']","['Alex Gonzalez', 201, 'PERSON']"
' '' Beastie Boys '' ',"['Beastie Boys', (42482, 42483), 'ORG']","['Beastie Boys', 5, 'PERSON']"
"Tom Ridge , member of the United States House of Representatives , Governor of Pennsylvania and Secretary of Homeland Security","['Governor of Pennsylvania', (42514, 42516), 'ORG']","['Governor of Pennsylvania', 67, 'PERSON']"
"'' Plaquemines Parish '' ' ( Belle Chasse , Boothville-Venice , Buras-Triumph , Empire , Port Sulphur )","['Belle Chasse', (42660, 42661), 'LOC']","['Belle Chasse', 29, 'PERSON']"
"In 1802 , it was converted to apartments , and is now the Albany .","['Albany', (42685, 42685), 'ORG']","['Albany', 58, 'LOC']"
"Alice Lloyd ( Pippa Passes , Kentucky )","['Alice Lloyd', (42702, 42703), 'ORG']","['Alice Lloyd', 0, 'PERSON']"
The firm was organized by Horace William Shaler Cleveland ( H.W.S .,"['Horace William Shaler Cleveland', (42721, 42724), 'ORG']","['Horace William Shaler Cleveland', 26, 'PERSON']"
** Dudley Do-Right of the Mounties '',"['Dudley Do-Right of the Mounties', (42729, 42733), 'ORG']","['Dudley Do-Right of the Mounties', 3, 'PERSON']"
Catwoman '' 82 ( 2000 ),"['Catwoman', (42784, 42784), 'PERSON']","['Catwoman', 0, 'LOC']"
The name is unique as there are no other Crostons in the UK .,"['UK', (42814, 42814), 'ORG']","['UK', 57, 'LOC']"
Chet AdamsÃ¢ÂÂTackleÃ¢ÂÂ1939-1942 Cleveland Rams ; 1943 Green Bay Packers ; 1946-1948 Cleveland Browns ; 1949 Buffalo Bisons,"['Cleveland Browns', (42866, 42867), 'ORG']","['Cleveland Browns', 90, 'PERSON']"
"*He also translated a lot of poems of Taras Shevchenko , Maxim Gorky , Ilia Chavchavadze and Jambyl .","['Jambyl', (42964, 42964), 'PERSON']","['Jambyl', 93, 'LOC']"
He later returned to Great Olympics in January 2009 then again signed a contract on 9 April 2009 with Eleven Wise .,"['Eleven Wise', (43062, 43063), 'ORG']","['Eleven Wise', 102, 'PERSON']"
Christchurch railway station is on the South Western Main Line from London Waterloo to Weymouth .,"['London Waterloo', (43129, 43130), 'ORG']","['London Waterloo', 68, 'PERSON']"
The default map covers all of Afro-Eurasia and permits the rounding of the Cape of Good Hope but the North Cape .,"['Cape of Good Hope', (43153, 43156), 'LOC']","['Cape of Good Hope', 75, 'ORG']"
The default map covers all of Afro-Eurasia and permits the rounding of the Cape of Good Hope but the North Cape .,"['North Cape', (43159, 43160), 'ORG']","['North Cape', 101, 'LOC']"
"Philadelphia , Pennsylvania , United States","['Philadelphia , Pennsylvania', (43162, 43164), 'ORG']","['Philadelphia , Pennsylvania', 0, 'LOC']"
Circus Maximus Ã¢ÂÂ The 1st Chapter '',"['Circus Maximus', (43168, 43169), 'ORG']","['Circus Maximus', 0, 'PERSON']"
"It is found in Florida , Cuba , Puerto Rico , Jamaica , the Lesser Antilles and from Mexico to Brazil .","['Lesser Antilles', (43230, 43231), 'LOC']","['Lesser Antilles', 60, 'ORG']"
'' John the Balladeer '' by Manly Wade Wellman,"['John the Balladeer', (43314, 43316), 'ORG']","['John the Balladeer', 3, 'PERSON']"
wildfires]] in the San Bernardino Mountains .,"['San Bernardino Mountains', (43330, 43332), 'LOC']","['San Bernardino Mountains', 19, 'ORG']"
"He was educated at Eton , the Royal Military College , Sandhurst , and Trinity College , Cambridge .","['Eton', (43404, 43404), 'ORG']","['Eton', 19, 'LOC']"
Catwoman '' 37 ( September 1996 ),"['Catwoman', (43464, 43464), 'PERSON']","['Catwoman', 0, 'LOC']"
"He was loaned out to Bury during October 1977 and eventually switched to Derby County in a ÃÂ£50,000 move the following month .","['Bury', (43520, 43520), 'ORG']","['Bury', 21, 'LOC']"
"He was loaned out to Bury during October 1977 and eventually switched to Derby County in a ÃÂ£50,000 move the following month .","['Derby County', (43528, 43529), 'ORG']","['Derby County', 73, 'LOC']"
' '' With Irene Schweizer and Hamid Drake '' ',"['Irene Schweizer', (43576, 43577), 'ORG']","['Irene Schweizer', 10, 'PERSON']"
They made the first ever CFP National Championship Game where they lost 42Ã¢ÂÂ20 to Ohio State .,"['Ohio State', (43618, 43619), 'LOC']","['Ohio State', 86, 'ORG']"
"with Orange Caramel , Episode 13","['Orange Caramel', (43622, 43623), 'ORG']","['Orange Caramel', 5, 'PERSON']"
'' 'U-21 Player of the Year : ' '' John Kosmina ( West Adelaide ),"['West Adelaide', (43662, 43663), 'ORG']","['West Adelaide', 50, 'LOC']"
From 11 December 1920 to 2 February 1923 he was Interior Minister under William Buck .,"['Interior Minister', (43703, 43704), 'ORG']","['Interior Minister', 48, 'PERSON']"
'' Socinian '' ' Ã¢ÂÂ Faustus Socinus,"['Socinian', (43724, 43724), 'ORG']","['Socinian', 3, 'LOC']"
"Kingsmead Cricket Ground , Durban","['Kingsmead Cricket Ground', (43876, 43878), 'LOC']","['Kingsmead Cricket Ground', 0, 'ORG']"
"' '' Nearby villages : ' '' High Wych , Spellbrook , Much Hadham","['High Wych', (43919, 43920), 'LOC']","['High Wych', 28, 'PERSON']"
"He has recently appeared in campaigns for DKNY , H & M , Express , Massimo Dutti , Trussardi , Nordstrom and Americana Manhasset .","['Massimo Dutti', (43941, 43942), 'ORG']","['Massimo Dutti', 67, 'PERSON']"
"He has recently appeared in campaigns for DKNY , H & M , Express , Massimo Dutti , Trussardi , Nordstrom and Americana Manhasset .","['Trussardi', (43944, 43944), 'ORG']","['Trussardi', 83, 'LOC']"
"He has recently appeared in campaigns for DKNY , H & M , Express , Massimo Dutti , Trussardi , Nordstrom and Americana Manhasset .","['Nordstrom', (43946, 43946), 'ORG']","['Nordstrom', 95, 'LOC']"
"He has recently appeared in campaigns for DKNY , H & M , Express , Massimo Dutti , Trussardi , Nordstrom and Americana Manhasset .","['Americana Manhasset', (43948, 43949), 'ORG']","['Americana Manhasset', 109, 'PERSON']"
"He sustained losses to Disco Inferno , Wrath , Chris Adams , Alex Wright , Vincent , and others during 1998 .","['Wrath', (44022, 44022), 'PERSON']","['Wrath', 39, 'LOC']"
"He sustained losses to Disco Inferno , Wrath , Chris Adams , Alex Wright , Vincent , and others during 1998 .","['Vincent', (44030, 44030), 'PERSON']","['Vincent', 75, 'LOC']"
In 1976 she was elected as a Member of the Sejm .,"['Sejm', (44068, 44068), 'ORG']","['Sejm', 43, 'LOC']"
"He has also guest starred on CSI : NY '' with Gary Sinise , Without a Trace '' with Anthony La Paglia and The Forgotten '' with Christian Slater .","['Anthony La Paglia', (44288, 44290), 'ORG']","['Anthony La Paglia', 84, 'PERSON']"
Richard Sharpe Ã¢ÂÂ Colorado Ã¢ÂÂ 1996,"['Colorado', (44401, 44401), 'ORG']","['Colorado', 22, 'LOC']"
Esperando la carroza '' ( 1985 ),"['Esperando la carroza', (44408, 44410), 'ORG']","['Esperando la carroza', 0, 'LOC']"
"*Recorded : June 17 , 2004 , KeySpan Park , Brooklyn , New York","['KeySpan Park', (44425, 44426), 'ORG']","['KeySpan Park', 29, 'LOC']"
"James Kisai ( died 1597 ) , one of the Twenty-six Martyrs of Japan .","['James Kisai', (44506, 44507), 'ORG']","['James Kisai', 0, 'PERSON']"
There have been two particularly notable Members of Parliament ( MPs ) .,"['Members of Parliament', (44527, 44529), 'PERSON']","['Members of Parliament', 41, 'ORG']"
"This included his highest score of 41 , made against Middlesex at Taunton .","['Middlesex', (44707, 44707), 'ORG']","['Middlesex', 53, 'LOC']"
The full album was made available for preview on the VH1 website on December 5 .,"['VH1', (44763, 44763), 'ORG']","['VH1', 53, 'LOC']"
Tina Weymouth ( Talking Heads ),"['Talking Heads', (44772, 44773), 'ORG']","['Talking Heads', 16, 'PERSON']"
"He holds teaching posts in Peking and in Canton , in the People 's Republic of China .","['Peking', (44854, 44854), 'ORG']","['Peking', 27, 'LOC']"
'' Gran Malvina '',"['Gran Malvina', (45021, 45022), 'ORG']","['Gran Malvina', 3, 'PERSON']"
"Batavia Downs , Batavia","['Batavia Downs', (45100, 45101), 'ORG']","['Batavia Downs', 0, 'PERSON']"
He wrote his honors thesis on characterization in Milton .,"['Milton', (45112, 45112), 'PERSON']","['Milton', 50, 'LOC']"
' '' Kloten Flyers '' ',"['Kloten Flyers', (45126, 45127), 'ORG']","['Kloten Flyers', 5, 'PERSON']"
"From 1949 until his death in 1974 , he functioned as the head editor of Europe '' .","['Europe', (45171, 45171), 'ORG']","['Europe', 72, 'LOC']"
"Five : Noyon ( 1150 ) , Soissons ( 1190 ) , Reims ( 1212 ) , Tours , Seez , Bayeux ( 1230 ) , Clermont ( 1275 ) , Senlis , Limoges , Albi and Narbonne ;","['Noyon', (45196, 45196), 'ORG']","['Noyon', 7, 'LOC']"
"Five : Noyon ( 1150 ) , Soissons ( 1190 ) , Reims ( 1212 ) , Tours , Seez , Bayeux ( 1230 ) , Clermont ( 1275 ) , Senlis , Limoges , Albi and Narbonne ;","['Reims', (45206, 45206), 'ORG']","['Reims', 44, 'LOC']"
"Five : Noyon ( 1150 ) , Soissons ( 1190 ) , Reims ( 1212 ) , Tours , Seez , Bayeux ( 1230 ) , Clermont ( 1275 ) , Senlis , Limoges , Albi and Narbonne ;","['Tours', (45211, 45211), 'ORG']","['Tours', 61, 'LOC']"
"Five : Noyon ( 1150 ) , Soissons ( 1190 ) , Reims ( 1212 ) , Tours , Seez , Bayeux ( 1230 ) , Clermont ( 1275 ) , Senlis , Limoges , Albi and Narbonne ;","['Seez', (45213, 45213), 'ORG']","['Seez', 69, 'LOC']"
"Five : Noyon ( 1150 ) , Soissons ( 1190 ) , Reims ( 1212 ) , Tours , Seez , Bayeux ( 1230 ) , Clermont ( 1275 ) , Senlis , Limoges , Albi and Narbonne ;","['Clermont', (45220, 45220), 'ORG']","['Clermont', 94, 'LOC']"
All songs written by Play Dead .,"['Play Dead', (45382, 45383), 'ORG']","['Play Dead', 21, 'PERSON']"
On October 4 they reached in Cairo and then visited Sinai peninsula .,"['Sinai peninsula', (45409, 45410), 'ORG']","['Sinai peninsula', 52, 'LOC']"
"' '' Matches at Reliant Stadium ( Houston , Texas ) ' ''","['Houston , Texas', (45493, 45495), 'ORG']","['Houston , Texas', 34, 'LOC']"
'' Samini '' ',"['Samini', (45866, 45866), 'PERSON']","['Samini', 3, 'LOC']"
"Farmborough , Florence .","['Farmborough , Florence', (45931, 45933), 'PERSON']","['Farmborough , Florence', 0, 'LOC']"
'' Prenanthes amabilis '',"['Prenanthes amabilis', (46016, 46017), 'ORG']","['Prenanthes amabilis', 3, 'LOC']"
Her work has been compared to Veronica Black and Carol Anne O'Marie by Library Journal '' .,"['Library Journal', (46074, 46075), 'ORG']","['Library Journal', 71, 'PERSON']"
"Riverview Speedway , Murray Bridge , South Australia","['Riverview Speedway', (46083, 46084), 'ORG']","['Riverview Speedway', 0, 'PERSON']"
She was born in 1760 during the reign of the Qianlong Emperor .,"['Qianlong Emperor', (46139, 46140), 'PERSON']","['Qianlong Emperor', 45, 'ORG']"
"The artists involved were Sarbel , Christos Dantis , and Tamta .","['Sarbel', (46224, 46224), 'PERSON']","['Sarbel', 26, 'LOC']"
"The artists involved were Sarbel , Christos Dantis , and Tamta .","['Tamta', (46230, 46230), 'PERSON']","['Tamta', 57, 'LOC']"
: south-southeast of Pike Road .,"['Pike Road', (46317, 46318), 'LOC']","['Pike Road', 21, 'PERSON']"
It is located in MorsÃÂ¸ municipality and belongs to Region Nordjylland .,"['MorsÃ\x83Â¸ municipality', (46591, 46592), 'ORG']","['MorsÃ\x83Â¸ municipality', 17, 'LOC']"
It is located in MorsÃÂ¸ municipality and belongs to Region Nordjylland .,"['Region Nordjylland', (46596, 46597), 'ORG']","['Region Nordjylland', 54, 'LOC']"
They were imprissoned in Qasr Prison for 3 days .,"['Qasr Prison', (46668, 46669), 'LOC']","['Qasr Prison', 25, 'PERSON']"
"George Howard Herbig ( USA , 1920 Ã¢ÂÂ 2013 )","['George Howard Herbig', (46739, 46741), 'ORG']","['George Howard Herbig', 0, 'PERSON']"
'' Cimarron City '' ( 1958Ã¢ÂÂ1959 ),"['Cimarron City', (46769, 46770), 'PERSON']","['Cimarron City', 3, 'LOC']"
"Westminster Abbey , the Tate Gallery and the Tower of London were among the buildings flooded .","['Westminster Abbey', (46825, 46826), 'ORG']","['Westminster Abbey', 0, 'LOC']"
"Westminster Abbey , the Tate Gallery and the Tower of London were among the buildings flooded .","['Tower of London', (46833, 46835), 'ORG']","['Tower of London', 45, 'LOC']"
James Bayard ( D-DE ) 1853Ã¢ÂÂ1857,"['James Bayard', (46966, 46967), 'ORG']","['James Bayard', 0, 'PERSON']"
"'' Bertie Ahern '' ' , of Fianna FÃÂ¡il , is elected as Ireland 's Taoiseach for a record third term upon the opening of the 30th DÃÂ¡il today .","['Bertie Ahern', (46981, 46982), 'PERSON']","['Bertie Ahern', 3, 'ORG']"
"'' Bertie Ahern '' ' , of Fianna FÃÂ¡il , is elected as Ireland 's Taoiseach for a record third term upon the opening of the 30th DÃÂ¡il today .","['Fianna FÃ\x83Â¡il', (46987, 46988), 'ORG']","['Fianna FÃ\x83Â¡il', 26, 'PERSON']"
It is named after August Graf von Platen ( 1796Ã¢ÂÂ1835 ) .,"['August Graf von Platen', (47014, 47017), 'ORG']","['August Graf von Platen', 18, 'PERSON']"
Both versions were distributed by Dominion Games .,"['Dominion Games', (47031, 47032), 'ORG']","['Dominion Games', 34, 'PERSON']"
333 : Bondi Beach Ã¢ÂÂ Circular Quay via Bondi Junction and Darlinghurst .,"['Bondi Beach', (47077, 47078), 'LOC']","['Bondi Beach', 6, 'PERSON']"
333 : Bondi Beach Ã¢ÂÂ Circular Quay via Bondi Junction and Darlinghurst .,"['Circular Quay', (47080, 47081), 'LOC']","['Circular Quay', 25, 'PERSON']"
333 : Bondi Beach Ã¢ÂÂ Circular Quay via Bondi Junction and Darlinghurst .,"['Bondi Junction', (47083, 47084), 'LOC']","['Bondi Junction', 43, 'ORG']"
' '' La Poma '' ' ( 615 inh .,"['La Poma', (47277, 47278), 'LOC']","['La Poma', 5, 'ORG']"
'' Madhu Muskan '' by Mayapuri Group,"['Madhu Muskan', (47417, 47418), 'ORG']","['Madhu Muskan', 3, 'PERSON']"
"Mir Fantastiki '' , 2003Ã¢ÂÂpresent , Russia","['Mir Fantastiki', (47423, 47424), 'ORG']","['Mir Fantastiki', 0, 'PERSON']"
"`` was the title of an article by Mark Kac in the American Mathematical Monthly '' in 1966 , but the phrasing of the title is due to Lipman Bers .","['Lipman Bers', (47514, 47515), 'PERSON']","['Lipman Bers', 133, 'ORG']"
"Bad Eisenkappel , Austria","['Bad Eisenkappel', (47553, 47554), 'LOC']","['Bad Eisenkappel', 0, 'PERSON']"
"The third album , titled Spark '' was released in Norway , Denmark , Sweden , Finland on 18 November 2011 and Germany , Austria , Switzerland on 16 December 2011 .","['Spark', (47562, 47562), 'ORG']","['Spark', 25, 'LOC']"
"Celtic Park , Glasgow ( H )","['Celtic Park', (47650, 47651), 'ORG']","['Celtic Park', 0, 'LOC']"
It was made at Lime Grove Studios in Shepherd 's Bush .,"['Lime Grove Studios', (47745, 47747), 'LOC']","['Lime Grove Studios', 15, 'ORG']"
"Belva Plain ( 1919Ã¢ÂÂ2010 ) , author .","['Belva Plain', (47851, 47852), 'PERSON']","['Belva Plain', 0, 'LOC']"
"Ark clams , family Arcidae ( most popular in Indonesia and Singapore )","['Arcidae', (47863, 47863), 'ORG']","['Arcidae', 19, 'LOC']"
"He has taught creative writing workshops and performed readings in countries as diverse as Russia , Gambia , and Singapore .","['Gambia', (47913, 47913), 'ORG']","['Gambia', 100, 'LOC']"
"Stadionul Iuliu Bodola , Oradea","['Stadionul Iuliu Bodola', (47966, 47968), 'ORG']","['Stadionul Iuliu Bodola', 0, 'PERSON']"
"Sima , Guang .","['Sima , Guang', (47993, 47995), 'PERSON']","['Sima , Guang', 0, 'LOC']"
"It was released on November 16 , 2010 through Captured Tracks .","['Captured Tracks', (48125, 48126), 'ORG']","['Captured Tracks', 46, 'PERSON']"
'' Hammadids '' ' - Hammad ibn Buluggin ( 1008Ã¢ÂÂ1028 ),"['Hammadids', (48156, 48156), 'ORG']","['Hammadids', 3, 'LOC']"
Gillian Hills as Sonietta,"['Gillian Hills', (48218, 48219), 'PERSON']","['Gillian Hills', 0, 'LOC']"
"He was replaced by Tony Pulis , who had recently been sacked by fellow Championship side Stoke City .","['Championship', (48293, 48293), 'ORG']","['Championship', 71, 'LOC']"
"He was replaced by Tony Pulis , who had recently been sacked by fellow Championship side Stoke City .","['Stoke City', (48295, 48296), 'ORG']","['Stoke City', 89, 'LOC']"
"He was moved to Harrisonburg , Virginia , to the home of the E. T. H. Warren family .","['E. T. H. Warren', (48447, 48450), 'ORG']","['E. T. H. Warren', 61, 'PERSON']"
' '' Hertha Berlin 2Ã¢ÂÂ0 '' ',"['Hertha Berlin', (48594, 48595), 'ORG']","['Hertha Berlin', 5, 'PERSON']"
*Athens ( Panathenaic Stadium ),"['Panathenaic Stadium', (48661, 48662), 'LOC']","['Panathenaic Stadium', 10, 'ORG']"
"Anil Kapoor , Sridevi , Amrish Puri","['Sridevi', (48756, 48756), 'PERSON']","['Sridevi', 14, 'LOC']"
"Gurdas Mann , Juhi Chawla , Divya Dutta","['Gurdas Mann', (48794, 48795), 'ORG']","['Gurdas Mann', 0, 'PERSON']"
Met with President Clinton at the U.N. General Assembly in New York City .,"['President Clinton', (48927, 48928), 'ORG']","['President Clinton', 9, 'PERSON']"
"The character 's name is borrowed from the Hall of Famer who played seventeen seasons in the National Hockey League with the Montreal Canadiens , New York Rangers and Quebec Nordiques .","['Montreal Canadiens', (49000, 49001), 'ORG']","['Montreal Canadiens', 125, 'LOC']"
"She was born in 1945 in the neighborhood of Indra Chok in Kathmandu , Nepal .","['Indra Chok', (49078, 49079), 'ORG']","['Indra Chok', 44, 'PERSON']"
"Mandalay Hill , 224 m","['Mandalay Hill', (49368, 49369), 'LOC']","['Mandalay Hill', 0, 'PERSON']"
'' Acontista vitrea '',"['Acontista vitrea', (49501, 49502), 'ORG']","['Acontista vitrea', 3, 'LOC']"
"*Ã Â¹ÂÃ Â¸ÂÃ Â¸ÂµÃ Â¸Â¢Ã Â¸ÂÃ Â¸Â£Ã Â¸Â²Ã Â¸Â¢ Ã¢ÂÂ Ã Â¹ÂÃ Â¸ÂÃ Â¹ÂÃ Â¸ÂÃ Â¸Â®Ã Â¹ÂÃ Â¸Â²Ã Â¸Â¢ ( , Chiang Rai city and province )","['Chiang Rai city', (49640, 49642), 'ORG']","['Chiang Rai city', 110, 'PERSON']"
"On 20 May 2008 , 3 / 9 was reactivated at Marine Corps Base Camp Lejeune , North Carolina under the 2nd Marine Division .","['Marine Corps Base Camp Lejeune', (49695, 49699), 'LOC']","['Marine Corps Base Camp Lejeune', 42, 'ORG']"
"*Champion : ' '' Reading Buccaneers '' ' of Reading , Pennsylvania","['Reading Buccaneers', (49724, 49725), 'ORG']","['Reading Buccaneers', 17, 'PERSON']"
Lin Mei Jiao Ã¦ÂÂÃ¦Â¢ÂÃ¥Â¨Â '',"['Lin Mei Jiao', (49774, 49776), 'ORG']","['Lin Mei Jiao', 0, 'PERSON']"
"William Mitchell Kendall ( 1856 Ã¢ÂÂ 1941 ) , worked with the firm from 1882 until his death .","['William Mitchell Kendall', (49858, 49860), 'ORG']","['William Mitchell Kendall', 0, 'PERSON']"
"** '' Maharashtra '' ' : Amravati , Akola , Buldana , Washim and Yavatmal","['Buldana', (49912, 49912), 'ORG']","['Buldana', 44, 'LOC']"
which was played between Ireland and Canada at Grace Road in Leicester .,"['Ireland', (49948, 49948), 'ORG']","['Ireland', 25, 'LOC']"
which was played between Ireland and Canada at Grace Road in Leicester .,"['Canada', (49950, 49950), 'ORG']","['Canada', 37, 'LOC']"
'' Babylon 5 '' ( 1997 ) as Interrogator ( 2 episodes ),"['Babylon 5', (50077, 50078), 'PERSON']","['Babylon 5', 3, 'ORG']"
He was succeeded by his son Visbur .,"['Visbur', (50095, 50095), 'PERSON']","['Visbur', 28, 'LOC']"
Arborophila ardens '' ( Hainan partridge ),"['Arborophila ardens', (50097, 50098), 'ORG']","['Arborophila ardens', 0, 'LOC']"
*3838 - Rolandylis virilia '',"['Rolandylis virilia', (50106, 50107), 'ORG']","['Rolandylis virilia', 8, 'LOC']"
"Chesapeake Energy Arena ( 18,203 )","['Chesapeake Energy Arena', (50156, 50158), 'ORG']","['Chesapeake Energy Arena', 0, 'PERSON']"
