sentence,entities
Fred Dinenage ' '' ( as himself ) ' '',"[['Fred Dinenage', (145522, 145523), 'PER']]"
"He died February 26 , 1956 and is buried in Bath National Cemetery , Bath , New York .","[['Bath National Cemetery', (145542, 145544), 'LOC'], ['Bath , New York', (145546, 145549), 'LOC']]"
"He was the youngest brother of Francis Russell , 5th Duke of Bedford , and John Russell , 6th Duke of Bedford , and uncle of Francis Russell , 7th Duke of Bedford .","[['Francis Russell , 5th Duke of Bedford', (145557, 145563), 'PER'], ['John Russell , 6th Duke of Bedford', (145566, 145572), 'PER'], ['Francis Russell , 7th Duke of Bedford', (145577, 145583), 'PER']]"
Saan Ka Man Naroroon '',"[['Saan Ka Man Naroroon', (145585, 145588), 'ORG']]"
"Shane Battier , Corey Maggette , Elton Brand , Carlos Boozer , Luol Deng , Christian Laettner , Bobby Hurley , Grant Hill , Kyrie Irving and J.J. Redick are among the most famous .","[['Shane Battier', (145590, 145591), 'PER'], ['Corey Maggette', (145593, 145594), 'PER'], ['Elton Brand', (145596, 145597), 'PER'], ['Carlos Boozer', (145599, 145600), 'PER'], ['Luol Deng', (145602, 145603), 'PER'], ['Christian Laettner', (145605, 145606), 'PER'], ['Bobby Hurley', (145608, 145609), 'PER'], ['Grant Hill', (145611, 145612), 'PER'], ['Kyrie Irving', (145614, 145615), 'PER'], ['J.J. Redick', (145617, 145618), 'ORG']]"
"Cambridge Township , Michigan",[]
2nd / 4th Armoured Regiment,[]
"Kramm , California",[]
Peter Andersson ( musician ),[]
La NiÃ±a de los Peines is also an important reference for all these styles .,"[['La NiÃ±a de los Peines', (145642, 145646), 'PER']]"
W Allman ( rugby league ),[]
"Vancouver , British Columbia , Canada","[['Vancouver , British Columbia', (145663, 145666), 'ORG']]"
Voorlezer 's House,[]
"He played previously for BK MladÃ¡ Boleslav , HC HamÃ© ZlÃ­n , HC Slovan ÃstÃ­ nad Labem and SK HorÃ¡ckÃ¡ Slavia TÅebÃ­Ä .","[['BK MladÃ¡ Boleslav', (145676, 145678), 'ORG'], ['HC HamÃ© ZlÃ\xadn', (145680, 145682), 'ORG'], ['HC Slovan Ã\x9astÃ\xad nad Labem', (145684, 145688), 'ORG'], ['SK HorÃ¡ckÃ¡ Slavia TÅ\x99ebÃ\xadÄ\x8d', (145690, 145693), 'ORG']]"
"Their largest contingents took up positions near Mafikeng and Rooigrond , respectively .","[['Mafikeng', (145702, 145702), 'LOC'], ['Rooigrond', (145704, 145704), 'LOC']]"
"'' Calisto pulchella pulchella '' Lathy , 1899","[['Calisto pulchella pulchella', (145709, 145711), 'LOC']]"
"Monks was elected on her second attempt as Member of Parliament for Chorley constituency in 1970 , but lost in February 1974 to the Labour candidate George Rodgers .","[['Member of Parliament', (145724, 145726), 'PER'], ['Chorley constituency', (145728, 145729), 'ORG'], ['Labour candidate', (145740, 145741), 'ORG'], ['George Rodgers', (145742, 145743), 'PER']]"
George W. Guthrie,[]
Rafael GonzÃ¡lez Robles,[]
The Singles 81â85,[]
Ballarat-Skipton Rail Trail goes to Skipton .,"[['Ballarat-Skipton Rail Trail', (145754, 145756), 'ORG'], ['Skipton', (145759, 145759), 'LOC']]"
"Roscoe Conkling House , in Utica , New York","[['Roscoe Conkling House', (145761, 145763), 'ORG']]"
'' A-League '' ',"[['A-League', (145771, 145771), 'ORG']]"
With reference to Ps . lxxiii .,"[['Ps .', (145777, 145778), 'PER']]"
1630 â buried 30 April 1640 in Westminster Abbey ),"[['Westminster Abbey', (145788, 145789), 'ORG']]"
"Palca District , Tacna",[]
"He was the son of Gnaeus Domitius Ahenobarbus , and brother of Lucius Domitius Ahenobarbus .","[['Gnaeus Domitius Ahenobarbus', (145800, 145802), 'PER'], ['Lucius Domitius Ahenobarbus', (145807, 145809), 'PER']]"
"He was also a features writer at the Richmond Times-Dispatch in Richmond , Virginia .","[['Richmond Times-Dispatch', (145819, 145820), 'ORG'], ['Richmond , Virginia', (145822, 145824), 'LOC']]"
Communes of the Morbihan department,[]
"1952 , Gertrude Melville ( ALP )","[['Gertrude Melville', (145833, 145834), 'PER']]"
Minority Whip : Alan Cranston,"[['Minority Whip', (145838, 145839), 'PER']]"
"'' Eupithecia denotata '' ( HÃ¼bner , 1813 )","[['Eupithecia denotata', (145844, 145845), 'LOC']]"
"Bridgewater , Vermont",[]
97 - Greg Ray,[]
Germany national baseball team,[]
"Hitchens , Christopher ( 2012 ) .","[['Hitchens , Christopher', (145863, 145865), 'PER']]"
"Sir Edward Poynter ( 1836â1919 ) , painter","[['Sir Edward Poynter', (145870, 145872), 'ORG']]"
"He died 27 Jul 1396 , and is buried in the Vatican .","[['Vatican', (145889, 145889), 'LOC']]"
His political stance was criticized for a comment to newspaper Den '' that he gave in 1999 :,"[['Den', (145901, 145901), 'ORG']]"
Kodandera Subayya Thimayya,[]
"California State University , San Bernardino",[]
"Nicola Mazzucato , 10 .","[['Nicola Mazzucato', (145918, 145919), 'PER']]"
F. S. C. Northrop,[]
Indian hog deer,[]
Close by are Rippingale and Kirkby Underwood .,"[['Rippingale', (145933, 145933), 'LOC'], ['Kirkby Underwood', (145935, 145936), 'LOC']]"
"It is near the cities of Mangum , Oklahoma and Altus , Oklahoma .","[['Mangum , Oklahoma', (145944, 145946), 'LOC'], ['Altus , Oklahoma', (145948, 145950), 'LOC']]"
''Neoregelia '' 'Sudan ',[]
"'' Goin ' Back '' [LP version] ( Gerry Goffin , Carole King ) â 3:27","[[""Goin ' Back"", (145957, 145959), 'ORG'], ['Gerry Goffin', (145964, 145965), 'PER'], ['Carole King', (145967, 145968), 'PER']]"
"Sandycreek Township , Venango County , Pennsylvania",[]
Billdal ( part of ),"[['Billdal', (145979, 145979), 'LOC']]"
"Anguilla , Mississippi",[]
George N. Wade Memorial Bridge,[]
"Yamanaka Castle , Mishima , Shizuoka","[['Yamanaka Castle', (145992, 145993), 'ORG']]"
"Taufa'ao Filise , 2 .","[[""Taufa'ao Filise"", (145998, 145999), 'PER']]"
"It is known from Finland , the Baltic States and adjacent Russia .","[['Finland', (146007, 146007), 'LOC'], ['Baltic States', (146010, 146011), 'ORG'], ['Russia', (146014, 146014), 'LOC']]"
He died in the Wycombe District in April 1989 .,"[['Wycombe District', (146020, 146021), 'LOC']]"
Classic Sinatra : His Greatest Performances 1953-1960 ( 2000 ),"[['Classic Sinatra : His Greatest Performances 1953-1960', (146026, 146032), 'ORG']]"
It was formed in 1996 and located in Den Helder at De Kooy Airfield .,"[['Den Helder', (146044, 146045), 'LOC'], ['De Kooy Airfield', (146047, 146049), 'ORG']]"
"John Belasyse , 1st Baron Belasyse",[]
George Benson Johnston,[]
"Gangnam , South Korea","[['Gangnam', (146060, 146060), 'LOC']]"
BoÅ¡ko JankoviÄ ( 26 / 12 ),"[['BoÅ¡ko JankoviÄ\x87', (146064, 146065), 'PER']]"
'' Cuba '' ',"[['Cuba', (146072, 146072), 'LOC']]"
'' Hammadids '' ' â Qaid ibn Hammad ( 1028â1045 ),"[['Hammadids', (146076, 146076), 'ORG'], ['Qaid ibn Hammad', (146080, 146082), 'PER']]"
"On April 6 , 1941 , the Kingdom of Yugoslavia was invaded by the Axis powers .","[['Kingdom of Yugoslavia', (146093, 146095), 'LOC'], ['Axis powers', (146100, 146101), 'LOC']]"
in 1979 from Harvard Law School .,"[['Harvard Law School', (146106, 146108), 'ORG']]"
35 Lonyae Miller '',"[['Lonyae Miller', (146111, 146112), 'PER']]"
"Sara Flounders , author .","[['Sara Flounders', (146114, 146115), 'PER']]"
Soest ( district ),[]
"PrzemyÅl ( 68,900 )","[['PrzemyÅ\x9bl', (146123, 146123), 'LOC']]"
*17252 - Sant Antoni de Calonge,[]
John Cooper Clarke â Himself,"[['John Cooper Clarke', (146133, 146135), 'PER']]"
'' Whose Line Is It Anyway ? '' ( 1998â2004 ),"[['Whose Line Is It Anyway ?', (146139, 146144), 'ORG']]"
3rd Mountain Brigade ( ''3 Brygada GÃ³rska '' ),[]
OtozÅ Yamada : December 1909,"[['OtozÅ\x8d Yamada', (146158, 146159), 'PER']]"
Martha Wentworth as Mrs .,"[['Martha Wentworth', (146163, 146164), 'PER']]"
Andy Dick and the Backstreet Boys â appeared in the opening skit,"[['Andy Dick', (146168, 146169), 'PER'], ['Backstreet Boys', (146172, 146173), 'ORG']]"
LanarkâCarleton ( provincial electoral district ),[]
"He graduated from The English School , Nicosia in Cyprus .","[['The English School , Nicosia', (146189, 146193), 'ORG'], ['Cyprus', (146195, 146195), 'LOC']]"
Nikita Andreev '' ( Tambov ) '',"[['Nikita Andreev', (146197, 146198), 'PER'], ['Tambov', (146201, 146201), 'ORG']]"
"Zbrza , Kielce County",[]
Mount St. Mary 's ( disambiguation ),[]
= Riccardia chamedryfolia '' ( With .,"[['Riccardia chamedryfolia', (146216, 146217), 'LOC']]"
In July several demonstrators were killed by troops in San Pedro Sula .,"[['San Pedro Sula', (146231, 146233), 'LOC']]"
29th Infantry Regiment ( United States ),[]
"''The Careful Writer '' , by Theodore Bernstein .","[['Theodore Bernstein', (146248, 146249), 'ORG']]"
"Hinterrhein , Switzerland",[]
Ben 10 : Ultimate Alien '' .,"[['Ben 10 : Ultimate Alien', (146254, 146258), 'ORG']]"
changing airplanes in Iceland or the Azores was not allowed .,"[['Iceland', (146264, 146264), 'LOC'], ['Azores', (146267, 146267), 'LOC']]"
Tear from the Red,[]
2 ; Theoph . Chronogr .,"[['Theoph .', (146278, 146279), 'PER']]"
"Pieter Snayers , p 380","[['Pieter Snayers', (146282, 146283), 'PER']]"
' '' Queen Maud Land '' ',"[['Queen Maud Land', (146289, 146291), 'LOC']]"
Royal Australian Navy,[]
Tjitske Siderius ( Socialist Party ) temporarily replaces Sadet Karabulut .,"[['Tjitske Siderius', (146297, 146298), 'PER'], ['Socialist Party', (146300, 146301), 'ORG'], ['Sadet Karabulut', (146305, 146306), 'PER']]"
"He died on November 1 , 1987 in Toronto .","[['Toronto', (146316, 146316), 'LOC']]"
Party of the Swedes,[]
"Judyty , Pomeranian Voivodeship",[]
Child sacrifice in Uganda,[]
"Topole , MengeÅ¡",[]
Ranch to Market Road 2222,[]
She initially refuses the position when the landlord Steve McDonald ( Simon Gregson ) explains that accommodation is not included .,"[['Steve McDonald', (146346, 146347), 'PER'], ['Simon Gregson', (146349, 146350), 'PER']]"
"'' Ca n't Get Enough '' ( Blair Daly , Will Rambeaux , Kent Blazy ) â 2:53","[[""Ca n't Get Enough"", (146360, 146363), 'ORG'], ['Blair Daly', (146366, 146367), 'PER'], ['Kent Blazy', (146372, 146373), 'PER']]"
Communes of the Vienne department,[]
"St. Paul 's College , Macau",[]
"Thomas Wentworth , 1st Earl of Strafford ( 1593â1641 ) ( forfeit 1641 )","[['Thomas Wentworth , 1st Earl of Strafford', (146388, 146394), 'PER']]"
The Vandellas ( Martha Reeves ),"[['The Vandellas', (146402, 146403), 'ORG'], ['Martha Reeves', (146405, 146406), 'PER']]"
"Wikngenchera language , Wik Ngencherr language","[['Wikngenchera language', (146408, 146409), 'ORG']]"
Keeble v Hickeringill '',"[['Keeble v Hickeringill', (146414, 146416), 'ORG']]"
' '' Faridabad '' ',"[['Faridabad', (146420, 146420), 'LOC']]"
Jean Auguste Dominique Ingres ( 1780â1867 ) painter,"[['Jean Auguste Dominique Ingres', (146423, 146426), 'PER']]"
San Pedro de Atacama,[]
"Junior Woodchucks ( also under name `` Huey , Dewey and Louie '' )","[['Junior Woodchucks', (146435, 146436), 'ORG'], ['Huey , Dewey and Louie', (146442, 146446), 'ORG']]"
It is located in the Abyan Governorate .,"[['Abyan Governorate', (146454, 146455), 'LOC']]"
Meritorious Artist ( Ð£ÐÐ ),"[['Meritorious Artist', (146457, 146458), 'PER']]"
written by Mike W. Barr and drawn by Paul Pelletier .,"[['Mike W. Barr', (146464, 146466), 'PER'], ['Paul Pelletier', (146470, 146471), 'PER']]"
The Magician 's Private Library,[]
"**Monarch- Nicholas II , Emperor of Russia ( 1894â1917 )","[['Nicholas II', (146479, 146480), 'PER'], ['Emperor of Russia', (146482, 146484), 'ORG']]"
"AlizÃ© Cornet '' ( Second Round , lost to Sorana CÃ®rstea )","[['AlizÃ© Cornet', (146488, 146489), 'PER'], ['Sorana CÃ®rstea', (146497, 146498), 'PER']]"
' '' Most matches in a career : ' '' 131 ( Bismarck du Plessis ),"[['Bismarck du Plessis', (146512, 146514), 'PER']]"
"'' Cephetola catuna carpenteri '' ( Bethune-Baker , 1922 )","[['Cephetola catuna carpenteri', (146517, 146519), 'LOC']]"
"** ' '' Kingo Sunen '' ' , in The Eternals '' 11 ( May )","[['Kingo Sunen', (146529, 146530), 'PER'], ['The Eternals', (146535, 146536), 'ORG']]"
"Henry IX , Duke of Bavaria , 1074â1126","[['Henry IX , Duke of Bavaria', (146542, 146547), 'PER']]"
*November 18 â Bud Zipfel,[]
The Vodafone Big Top 40 '',"[['The Vodafone Big Top 40', (146555, 146559), 'ORG']]"
Western Region of British Railways,[]
"Stade de Gerland , Lyon","[['Stade de Gerland', (146566, 146568), 'ORG']]"
SomeÈul Mare River,[]
He liquidated KrakÃ³w Ghetto by deporting its inhabitants to Auschwitz .,"[['KrakÃ³w Ghetto', (146576, 146577), 'LOC'], ['Auschwitz', (146583, 146583), 'ORG']]"
"Nellie Campobello , ''Tres poemas '' , Mexico","[['Nellie Campobello', (146585, 146586), 'PER']]"
"Kyle Rote , Jr .",[]
Il mio canto libero ( song ),[]
"Theophanes the Confessor , ''Chronographia '' .","[['Theophanes the Confessor', (146605, 146607), 'PER']]"
Albert Frey ( SS officer ),[]
Bach Double Violin Concerto in D minor,"[['Bach', (146618, 146618), 'PER']]"
Women in Mauritania,[]
'' Eleutherodactylus nitidus '' ( LC ),"[['Eleutherodactylus nitidus', (146629, 146630), 'LOC']]"
His brother is Robert Hermansen .,"[['Robert Hermansen', (146638, 146639), 'PER']]"
"Mistle thrush , ''Turdus viscivorus ''","[['Mistle thrush', (146641, 146642), 'LOC']]"
"Leithtown , Virginia",[]
2013â14 UCLA Bruins women 's basketball team,[]
' '' JuliÃ¡n SimÃ³n '' ',"[['JuliÃ¡n SimÃ³n', (146659, 146660), 'PER']]"
Captain Morgan 's Revenge '',"[[""Captain Morgan 's Revenge"", (146663, 146666), 'ORG']]"
Blackest Night '' 2 ( August 2009 ),"[['Blackest Night', (146668, 146669), 'PER']]"
Paul J. Weitz Karol J. Bobko Donald H. Peterson F. Story Musgrave,"[['Paul J. Weitz', (146676, 146678), 'PER'], ['Karol J. Bobko', (146679, 146681), 'PER'], ['Donald H. Peterson', (146682, 146684), 'PER']]"
`` The Song Is Ended '' ( Irving Berlin ) â 2:07,"[['The Song Is Ended', (146689, 146692), 'ORG'], ['Irving Berlin', (146695, 146696), 'PER']]"
"Juliette Binoche , FranÃ§ois Cluzet","[['Juliette Binoche', (146700, 146701), 'PER']]"
Kathie Lee Gifford,[]
"He hesitates about the personal name contained in this place-name , but believes that it is probably ''Liutradus '' instead of ''Liuthari '' supported by Marie-ThÃ©rÃ¨se Morlet , after Albert Dauzat and Charles Rostaing .","[['Marie-ThÃ©rÃ¨se Morlet', (146733, 146734), 'PER'], ['Albert Dauzat', (146737, 146738), 'PER'], ['Charles Rostaing', (146740, 146741), 'PER']]"
Gmelin 's white-toothed shrew,[]
"Mt Smart Stadium , Auckland","[['Mt Smart Stadium', (146747, 146749), 'ORG']]"
"He was educated at Eton College and New College , Oxford .","[['Eton College', (146756, 146757), 'ORG'], ['New College , Oxford', (146759, 146762), 'ORG']]"
' '' Zestafoni '' ',"[['Zestafoni', (146766, 146766), 'ORG']]"
'' Japan ( Heian period ) '' ',"[['Japan ( Heian period )', (146770, 146774), 'ORG']]"
Teenage Mutant Ninja Turtles ( 1987 TV series ),[]
Thomas Townley ( 1862â1935 ),"[['Thomas Townley', (146786, 146787), 'PER']]"
"Common greenshank , ''Tringa nebularia ''","[['Common greenshank', (146791, 146792), 'LOC']]"
Mitch Brown ( 2006- ),"[['Mitch Brown', (146797, 146798), 'PER']]"
"Ullock Pike , 690 m ( 2264 ft )","[['Ullock Pike', (146802, 146803), 'LOC']]"
Discovery World ( TV channel ),[]
"Philip B. Thompson , Jr .",[]
Barnegat Township School District,[]
"*1857â1888 : Charles Shaw-Lefevre , 1st Viscount Eversley",[]
Cristiano Ronaldo ( 2 ),"[['Cristiano Ronaldo', (146835, 146836), 'PER']]"
Dressed for the Occasion '',"[['Dressed for the Occasion', (146840, 146843), 'ORG']]"
Lee Bo-young ( 2009-2011 ),"[['Lee Bo-young', (146845, 146846), 'PER']]"
'' Psilogramma dillerorum '',"[['Psilogramma dillerorum', (146851, 146852), 'LOC']]"
' '' Margaret Laurence '' ',"[['Margaret Laurence', (146856, 146857), 'PER']]"
' '' Campeonato Carioca : ' '',"[['Campeonato Carioca', (146862, 146863), 'ORG']]"
"Redhill School , Sandton","[['Redhill School', (146867, 146868), 'ORG']]"
"'' Ephestia kuehniella '' Zeller , 1879","[['Ephestia kuehniella', (146872, 146873), 'ORG']]"
Welcome to My Dream,[]
"Saint Leon , Indiana",[]
"Instead , Carl Stumpf received the promotion .","[['Carl Stumpf', (146888, 146889), 'PER']]"
It was reduced to 318 during the second General Elections .,"[['General Elections', (146902, 146903), 'ORG']]"
Gen. William J. Hardee to Missouri .,"[['William J. Hardee', (146906, 146908), 'PER'], ['Missouri', (146910, 146910), 'LOC']]"
Average Joe '' ( 2003 ),"[['Average Joe', (146912, 146913), 'ORG']]"
"Laffit Pincay , Jr .",[]
Death of Ellen Axson Wilson,[]
Louth ( from 4 to 5 ),"[['Louth', (146928, 146928), 'LOC']]"
Stanley Royle ( 1888â1961 ),"[['Stanley Royle', (146935, 146936), 'PER']]"
"Leland H. Hartwell , Ph.D. , 1964","[['Leland H. Hartwell', (146940, 146942), 'PER']]"
It starred Angus Deayton .,"[['Angus Deayton', (146949, 146950), 'PER']]"
13 Blues for Thirteen Moons '' ( 2008 ),"[['13 Blues for Thirteen Moons', (146952, 146956), 'ORG']]"
"Gregor Townsend , 9 .","[['Gregor Townsend', (146961, 146962), 'PER']]"
"Jessup , Maryland",[]
The Albion Band,[]
FC Issyk-Kol Karakol,[]
"Middelburg , South Holland",[]
"Now lives in Ãrhus , Denmark .","[['Ã\x85rhus', (146982, 146982), 'ORG'], ['Denmark', (146984, 146984), 'LOC']]"
"YukarÄ±yenice , DazkÄ±rÄ±",[]
A Trick of the Tail '',"[['A Trick of the Tail', (146989, 146993), 'ORG']]"
"On 8 May 1916 , he was sent to pilot 's training at Pau .","[['Pau', (147008, 147008), 'LOC']]"
"'' Lyonetia prunifoliella '' ( HÃ¼bner , 1796 )","[['Lyonetia prunifoliella', (147011, 147012), 'LOC']]"
Northern pied babbler,[]
The Cloquet River flows through the area .,"[['Cloquet River', (147023, 147024), 'LOC']]"
Wake the Dead,[]
'' Ditte Menneskebarn '' - 1946,"[['Ditte Menneskebarn', (147034, 147035), 'ORG']]"
"Union County : 536,499","[['Union County', (147039, 147040), 'LOC']]"
Family Guy ( 2006â16 ),"[['Family Guy', (147043, 147044), 'ORG']]"
L. M. D. de Silva,[]
Lance Berkman ( 1999-2013 ),"[['Lance Berkman', (147053, 147054), 'PER']]"
South San Francisco Unified School District,[]
Julio CÃ©sar CortÃ©s,[]
'' Glyphipterix canachodes '',"[['Glyphipterix canachodes', (147068, 147069), 'LOC']]"
"Olga BoznaÅska , painter","[['Olga BoznaÅ\x84ska', (147071, 147072), 'PER']]"
Former Deputy Prime Minister of Canada,[]
"Hopewell , Wayne County , North Carolina",[]
"It is found in China , Laos , Myanmar , and Thailand .","[['China', (147092, 147092), 'LOC'], ['Laos', (147094, 147094), 'LOC'], ['Myanmar', (147096, 147096), 'ORG'], ['Thailand', (147099, 147099), 'LOC']]"
"WÅodzimierz Smolarek , Euzebiusz Smolarek ( son )","[['WÅ\x82odzimierz Smolarek', (147101, 147102), 'PER'], ['Euzebiusz Smolarek', (147104, 147105), 'PER']]"
George L. Fox ( clown ),[]
350th Fighter Squadron ( LH ),"[['350th Fighter Squadron', (147115, 147117), 'ORG']]"
"It is found in Saudi Arabia , Oman , the United Arab Emirates and Israel .","[['Saudi Arabia', (147125, 147126), 'LOC'], ['Oman', (147128, 147128), 'LOC'], ['United Arab Emirates', (147131, 147133), 'LOC'], ['Israel', (147135, 147135), 'LOC']]"
Daniel Hargraves ( 1 ),"[['Daniel Hargraves', (147137, 147138), 'PER']]"
' '' Tennis Borussia Berlin '' ',"[['Tennis Borussia Berlin', (147144, 147146), 'ORG']]"
Jaquirana Remo language,[]
' '' Derbi '' ',"[['Derbi', (147154, 147154), 'ORG']]"
Looking down on the campus from Grandad Bluff,[]
Charles Ward ( VC ),[]
**Slalom : Tina Maze 1:29.33 ( 44.08 / 45.25 ) Marlies Schild 1:29.38 ( 43.38 / 46.00 ) Veronika ZuzulovÃ¡ 1:29.97 ( 44.92 / 45.05 ),"[['Tina Maze', (147172, 147173), 'PER'], ['Marlies Schild', (147180, 147181), 'PER'], ['Veronika ZuzulovÃ¡', (147188, 147189), 'PER']]"
Roderick T. Long ( 1964â ),"[['Roderick T. Long', (147196, 147198), 'PER']]"
"Design - Paul Coker , Jr .",[]
Barron River ( Queensland ),[]
Simona La Mantia,[]
"Its last assignment was with the 28th Air Division , being stationed at Beale Air Force Base , California .","[['28th Air Division', (147223, 147225), 'ORG'], ['Beale Air Force Base', (147230, 147233), 'ORG'], ['California', (147235, 147235), 'LOC']]"
A & P Food Stores Building,[]
2008â09 PIHA season,[]
Hamilton Public Library ( Ontario ),[]
"Milo Talbot , 7th Baron Talbot of Malahide",[]
The coach for the Eastern Conference was New York Liberty coach Richie Adubato .,"[['Eastern Conference', (147264, 147265), 'ORG'], ['New York Liberty', (147267, 147269), 'ORG'], ['Richie Adubato', (147271, 147272), 'PER']]"
He was born in Kiev .,"[['Kiev', (147278, 147278), 'LOC']]"
Weightlifting at the 2016 Summer Olympics,[]
"It is situated in the HuÃ¡nuco Region , HuamalÃ­es Province , Tantamayo District .","[['HuÃ¡nuco Region', (147291, 147292), 'LOC'], ['HuamalÃ\xades Province', (147294, 147295), 'LOC'], ['Tantamayo District', (147297, 147298), 'LOC']]"
"' '' Thursday '' ' is an unincorporated community located in Ritchie County , West Virginia , United States .","[['unincorporated community', (147307, 147308), 'ORG'], ['Ritchie County', (147311, 147312), 'LOC'], ['West Virginia', (147314, 147315), 'LOC'], ['United States', (147317, 147318), 'LOC']]"
Brachystelma schultzei '' ( Schltr .,"[['Brachystelma schultzei', (147320, 147321), 'LOC']]"
His children included activist Susan Paul .,"[['Susan Paul', (147330, 147331), 'PER']]"
"They defeated Harri HeliÃ¶vaara and Jose Rubin Statham 6â3 , 6â2 in the final .","[['Harri HeliÃ¶vaara', (147335, 147336), 'PER'], ['Jose Rubin Statham', (147338, 147340), 'PER']]"
"Zlata Bizova ( born 1927 ) , painter","[['Zlata Bizova', (147348, 147349), 'PER']]"
Hamzah Zainudin ( BNâUMNO ),"[['Hamzah Zainudin', (147356, 147357), 'ORG']]"
Believe ( Justin Bieber album ),[]
Edgar T. Wherry,[]
") â born in Bender , Ottoman Empire .","[['Bender', (147374, 147374), 'LOC'], ['Ottoman Empire', (147376, 147377), 'LOC']]"
Lutz Graf Schwerin von Krosigk,[]
"Metrolink]] , Pacific Surfliner , Southwest Chief , Sunset Limited , Texas Eagle","[['Pacific Surfliner', (147386, 147387), 'LOC'], ['Southwest Chief', (147389, 147390), 'LOC'], ['Sunset Limited', (147392, 147393), 'ORG']]"
Natalie Bassingthwaighte and Shannon Noll â `` Do n't Give Up '',"[['Natalie Bassingthwaighte', (147397, 147398), 'PER'], ['Shannon Noll', (147400, 147401), 'PER'], [""Do n't Give Up"", (147404, 147407), 'ORG']]"
Julian Glover as Alfred Thayer Mahan,"[['Julian Glover', (147409, 147410), 'PER']]"
Take One ( disambiguation ),[]
"Heinrich GrÃ¤tz , Gesch .","[['Heinrich GrÃ¤tz', (147420, 147421), 'ORG']]"
"Birgitte , Duchess of Gloucester",[]
'' APPG '' ',"[['APPG', (147431, 147431), 'ORG']]"
"`` Moon of Manakoora '' ( Frank Loesser , Alfred Newman ) - 2:48","[['Moon of Manakoora', (147435, 147437), 'ORG'], ['Frank Loesser', (147440, 147441), 'PER'], ['Alfred Newman', (147443, 147444), 'PER']]"
"Stanley Peak , South Georgia",[]
"Santiago Phelan , 5 .","[['Santiago Phelan', (147453, 147454), 'PER']]"
It 's Low Beat Time '',"[[""It 's Low Beat Time"", (147458, 147462), 'ORG']]"
Prince Michael Feodorovich of Russia,[]
' '' Phantom Girl '' ',"[['Phantom Girl', (147471, 147472), 'PER']]"
Kansas 's congressional districts,[]
Han Yin ( Han dynasty ),"[['Han Yin (', (147479, 147481), 'PER']]"
' '' With Stan Getz '' ',"[['Stan Getz', (147488, 147489), 'PER']]"
"Born in Bangkok , she is the eldest daughter of a large multi-cultural family .","[['Bangkok', (147494, 147494), 'LOC']]"
Pat Carroll ( basketball ),[]
"Immediately surrounding settlements are West Byfleet , Woodham , Addlestone and Chertsey .","[['West Byfleet', (147516, 147517), 'LOC'], ['Woodham', (147519, 147519), 'LOC'], ['Addlestone', (147521, 147521), 'LOC'], ['Chertsey', (147523, 147523), 'LOC']]"
** '' TÅhoku Main Line '' ' : Sendai,"[['TÅ\x8dhoku Main Line', (147527, 147529), 'ORG']]"
Jason Isaacs and Nicholas McGaughey,"[['Jason Isaacs', (147534, 147535), 'PER']]"
"Jon Lovitz , Tia Carrere , Louise Fletcher","[['Jon Lovitz', (147539, 147540), 'PER'], ['Tia Carrere', (147542, 147543), 'PER']]"
Harry Blaney ( 1928â2013 ),"[['Harry Blaney', (147547, 147548), 'PER']]"
Missouri Route 45,[]
"Steve Donovan , Western Marshal ''","[['Steve Donovan , Western Marshal', (147555, 147559), 'ORG']]"
' '' Fourth official : ' '',"[['Fourth official', (147563, 147564), 'ORG']]"
SpVgg Selbitz ( 5 ),"[['SpVgg Selbitz', (147568, 147569), 'ORG']]"
Arthur Price ( bishop ),[]
"3 - Edgar Prado ( 1998 , 2004 , 2015 )","[['Edgar Prado', (147580, 147581), 'PER']]"
Buy U a Drank ( Shawty Snappin ' ) ( 2007 / ft .,"[[""Buy U a Drank ( Shawty Snappin ' )"", (147589, 147597), 'ORG']]"
Dilemma ' '' ( feat .,"[['Dilemma', (147603, 147603), 'ORG']]"
Royal Canadian Marine Search and Rescue,[]
John Morse ( British politician ),[]
Raja Nal and Mata Damyanti,[]
1877 FA Cup Final,[]
Estelle - `` American Boy '',"[['Estelle', (147630, 147630), 'PER'], ['American Boy', (147633, 147634), 'ORG']]"
"' '' Gale H. Stalker '' ' '' : 59,498","[['Gale H. Stalker', (147638, 147640), 'PER']]"
"Burban , Iran",[]
"'' Scotorythra ochetias '' ( Meyrick , 1899 )","[['Scotorythra ochetias', (147650, 147651), 'LOC']]"
"Hillsville , Virginia",[]
Archibald Smith Plantation Home,[]
' '' New South Wales '' ',"[['New South Wales', (147667, 147669), 'LOC']]"
And Now the Rain Sounds Like Life Is Falling Through It '',"[['And Now the Rain Sounds Like Life Is Falling Through It', (147672, 147682), 'ORG']]"
Halo 2 : The Original Soundtrack '' ( 2004 ),"[['Halo 2 : The Original Soundtrack', (147684, 147689), 'ORG']]"
*1918 United Lutheran Church in America founded,"[['United Lutheran Church in America', (147695, 147699), 'ORG']]"
Saks Fifth Avenue,[]
He was a Professor in LÃ¼ttich and at the University of LiÃ¨ge .,"[['LÃ¼ttich', (147709, 147709), 'LOC'], ['University of LiÃ¨ge', (147713, 147715), 'ORG']]"
It is found in Mozambique .,"[['Mozambique', (147721, 147721), 'LOC']]"
Socialism for the rich and capitalism for the poor,[]
'' Fascioloides magna '',"[['Fascioloides magna', (147733, 147734), 'LOC']]"
